Contact Id (18 digit),Opportunity Id (18 Digit),Lead Source (recent),Stage,[REDACTED],Recurring [REDACTED],Created Date,Close Date
003Dm000005HSiLIAW,006Dm000004SLbnIAG,Contact Sales,Development,45000,0,[REDACTED],[REDACTED]
003Dm000005HR1kIAG,006Dm000004SJTrIAO,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005HSbPIAW,006Dm000004SLUIIA4,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005HSp7IAG,006Dm000004SLhrIAG,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005HSeOIAW,006Dm000004SLYAIA4,Contact Sales,Qualified Opportunity,40000,0,[REDACTED],[REDACTED]
003Dm000005HR0XIAW,006Dm000004SJRWIA4,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005HRFcIAO,006Dm000004SJnwIAG,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005HR2nIAG,006Dm000004SJUpIAO,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
003Dm000005HR1BIAW,006Dm000004SJSUIA4,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005HSCKIA4,006Dm000004SKxdIAG,Contact Sales,Qualified Opportunity,40000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm000004SJQ4IAO,Contact Sales,Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HMWrIAO,006Dm000004SFK2IAO,Contact Sales,Qualified Opportunity,17000,0,[REDACTED],[REDACTED]
003Dm000005HMk1IAG,006Dm000004SFYYIA4,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HMlXIAW,[REDACTED],Contact Sales,Solution Design,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HMVoIAO,006Dm000004SFIzIAO,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
003Dm000005HMl3IAG,006Dm000004SFaKIAW,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HMXfIAO,006Dm000004SFLKIA4,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
003Dm000005HMkjIAG,006Dm000004SFYxIAO,Contact Sales,Solution Design,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HMgDIAW,006Dm000004SFSpIAO,Contact Sales,Development,40000,0,[REDACTED],[REDACTED]
003Dm000005HKfZIAW,006Dm000004SCxRIAW,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HLUhIAO,006Dm000004SEHRIA4,Contact Sales,Development,45000,0,[REDACTED],[REDACTED]
003Dm000005HJzeIAG,006Dm000004SCN8IAO,Contact Sales,Qualified Opportunity,400000,0,[REDACTED],[REDACTED]
003Dm000005HK3gIAG,006Dm000004SCSNIA4,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HJz0IAG,006Dm000004SCMyIAO,Contact Sales,Rejected [REDACTED],40000,0,[REDACTED],[REDACTED]
003Dm000005HJz1IAG,006Dm000004SCMzIAO,Contact Sales,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HMPtIAO,006Dm000004SFEnIAO,Abandoned Cart,Development,30000,0,[REDACTED],[REDACTED]
003Dm000005HMPjIAO,006Dm000004SFEiIAO,Contact Sales,Referred to [REDACTED],[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HMPkIAO,006Dm000004SFEjIAO,Contact Sales,Solution Design,60000,0,[REDACTED],[REDACTED]
003Dm000005HI2sIAG,006Dm000004SAIGIA4,Contact Sales,Qualified Opportunity,50000,0,[REDACTED],[REDACTED]
003Dm000005HIN3IAO,[REDACTED],Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
003Dm000005HJSaIAO,006Dm000004SCMFIA4,Nurture,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005HI9aIAG,006Dm000004SAQjIAO,Web Content,Development,[REDACTED],0,[REDACTED],[REDACTED]
003Dm000005HJpKIAW,006Dm000004SCKOIA4,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005HJw5IAG,006Dm000004SCMAIA4,Contact Sales,Qualified Opportunity,1,0,[REDACTED],[REDACTED]
003Dm000005HFNGIA4,006Dm000004S7GSIA0,Contact Sales,Qualified Opportunity,1,0,[REDACTED],[REDACTED]
003Dm000005HFV5IAO,006Dm000004S7ERIA0,Contact Sales,Closed Lost,50000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm000004S91iIAC,Contact Sales,Solution Design,40000,0,[REDACTED],[REDACTED]
[REDACTED],006Dm000004S6fpIAC,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005HEzwIAG,006Dm000004S6jmIAC,Contact Sales,Development,150000,0,[REDACTED],[REDACTED]
003Dm000005HEulIAG,006Dm000004S6eXIAS,Contact Sales,Qualified Opportunity,,0,[REDACTED],[REDACTED]
003Dm000005HFNFIA4,006Dm000004S7GRIA0,Contact Sales,Development,50000,0,[REDACTED],[REDACTED]
